,Hugo_Symbol,breast,bladder,kidney,index
1739,ZGLP1,55.02955056179774,40.42636363636364,41.090312499999996,13558
1740,WDFY3,409.2687640449439,262.6736363636364,557.9834375,13289
1741,CTDP1,227.16471910112358,301.60272727272724,244.5103125,2664
1742,TRPC1,126.30044943820225,115.18,97.8165625,12707
1743,FUT11,428.3220224719101,298.7336363636364,433.4265625,4216
1744,TIMP4,2022.4251685393258,154.03909090909093,82.34187499999999,12230
1745,APOE,7069.2413483146065,3115.4327272727273,13601.377499999999,754
1746,STAC,102.88494382022472,113.24636363636363,86.2396875,11569
1747,STRN4,900.979775280899,1173.9381818181819,868.7959375,11643
1748,GPR84,14.13573033707865,11.517272727272728,8.575625,4698
1749,RIMS1,21.533370786516855,5.1854545454545455,3.393125,10014
1750,ARX,10.854943820224719,0.3890909090909091,2.139375,884
1751,CTGF,8234.488764044943,14099.010909090912,7468.3128125,2671
1752,ZNF93,117.5905617977528,82.34727272727274,64.4334375,13954
1753,BPNT1,701.1721348314607,496.14,898.8653125000001,1323
1754,GPA33,3.1486516853932587,6.256363636363637,1.7065625,4649
1755,FAS,468.1028089887641,347.7145454545455,292.725,3895
1756,JPH2,231.71235955056179,871.2636363636364,47.7421875,5751
1757,PELI1,726.6534831460674,442.01,327.239375,8617
1758,FBN1,2362.718426966292,989.2672727272728,371.9346875,3911
1759,SSX1,1.278988764044944,0.47181818181818186,0.4475,11537
1760,GPR39,71.95730337078652,63.28818181818181,148.6871875,4690
1761,SCLT1,111.23359550561798,105.39818181818181,74.79,10751
1762,TTK,33.514044943820224,23.569999999999997,10.783750000000001,12801
1763,TDRD7,254.64808988764045,241.8536363636363,208.8196875,12034
1764,ALK,6.629101123595506,3.0072727272727273,1.404375,548
1765,SCN4A,131.0143820224719,5.79,25.1084375,10766
1766,DYRK4,849.8261797752807,921.5363636363636,714.4459375,3339
1767,STAT4,105.85988764044944,55.89909090909091,28.6715625,11586
1768,COQ3,249.16865168539329,237.94545454545457,307.2621875,2416
1769,AGTR2,0.6162921348314607,0.3581818181818182,3.4775,459
1770,CNIH3,123.47696629213483,86.53727272727272,183.50093750000002,2280
1771,QSOX1,2279.182808988764,5400.190909090909,1795.6331249999998,9579
1772,FCN3,99.93550561797751,41.52818181818182,532.6678125,3966
1773,LIN7C,275.6186516853933,233.9327272727273,293.94,6414
1774,IDE,345.6121348314607,351.2445454545455,278.61625000000004,5336
1775,GATM,729.7402247191011,632.2836363636363,28417.025625000002,4332
1776,ACSM1,101.85370786516853,35.06272727272728,52.62656249999999,312
1777,HEMK1,401.06101123595505,426.05818181818177,462.21000000000004,5002
1778,FEM1B,718.4956179775281,580.1436363636365,361.41125,3974
1779,DEGS1,1955.8106741573033,1377.8236363636365,1212.5431250000001,2957
1780,PHF12,557.7338202247191,480.44181818181823,366.735,8711
1781,CCR5,72.9923595505618,54.76727272727273,34.7075,1757
1782,PALMD,2768.870561797753,486.68454545454534,370.39500000000004,8358
1783,IL33,2260.43595505618,1856.7299999999998,251.9125,5495
1784,MCM8,110.93269662921348,81.45727272727274,87.7025,6838
1785,FSIP2,15.498202247191013,14.24909090909091,5.806875,4196
1786,SLIT2,310.9375280898877,256.2136363636364,235.24124999999998,11116
1787,NBPF1,748.6388764044943,446.3863636363636,500.12812500000007,7512
1788,MCF2,3.03752808988764,2.720909090909091,23.9684375,6822
1789,ZPLD1,5.30808988764045,0.7936363636363637,32.9415625,13980
1790,PIM3,1052.9430337078652,1840.5009090909093,1591.2465625,8788
1791,PSD4,356.31134831460673,240.76363636363638,353.67937500000005,9254
1792,CENPB,1090.9396629213481,1473.4836363636364,1075.9337500000001,1946
1793,TNKS2,602.5169662921348,457.1363636363636,365.796875,12475
1794,NACA,59083.26382022471,46351.39727272728,31051.3840625,7463
1795,SP2,449.49415730337074,354.9372727272727,385.0328125,11319
1796,HIBCH,776.44,703.9018181818182,1754.7571875,5042
1797,SIT1,69.34898876404495,70.98454545454545,35.2815625,11069
1798,SCN1A,1.6660674157303375,0.35727272727272724,0.619375,10760
1799,MDGA1,66.52730337078651,114.77636363636363,58.5925,6858
1800,TMEM2,769.2331460674158,795.3172727272729,482.2721875,12392
1801,GRM5,0.34146067415730336,0.2854545454545454,1.540625,4764
1802,EMP2,2032.4412359550563,2419.7645454545454,587.8165624999999,3550
1803,PARVG,191.7449438202247,247.83090909090913,88.13374999999999,8412
1804,FBXL3,1203.4049438202246,618.5454545454545,994.0234375000001,3941
1805,NR2E1,1.983033707865169,2.039090909090909,3.5471875,7943
1806,IREB2,487.21955056179786,272.33,389.2428125,5627
1807,SYT12,287.7860674157303,18.507272727272728,20.791249999999998,11784
1808,FPGT,314.47078651685393,168.6509090909091,331.01937499999997,4162
1809,DGKG,22.314831460674156,166.91,41.5978125,2991
1810,KSR2,7.219662921348314,5.028181818181818,40.369375000000005,6244
1811,CCL17,26.28988764044944,50.68090909090909,19.481875000000002,1709
1812,PVR,297.94651685393256,350.4963636363636,514.7428125,9380
1813,MTMR7,25.446629213483146,16.98181818181818,25.755937499999998,7288
1814,WT1,14.13820224719101,7.40090909090909,336.0475,13357
1815,CBLN1,45.576067415730336,20.896363636363642,9.205625000000001,1622
1816,LDLR,816.897415730337,1972.0890909090913,668.7446874999999,6349
1817,ZXDB,157.13359550561796,143.2609090909091,107.4290625,14008
1818,RGS16,293.24617977528084,499.7672727272726,434.925,9928
1819,HMGB4,0.2139325842696629,0.24999999999999997,0.228125,5094
1820,TRPV4,99.2773033707865,70.00727272727273,625.0365625,12722
1821,AZIN1,1764.5991011235953,1477.6136363636363,1080.585625,1062
1822,UBAC2,1493.3773033707866,1320.2681818181818,1751.2540625,12913
1823,STMN4,5.736629213483146,6.503636363636364,1.78125,11625
1824,KALRN,384.2407865168539,206.71181818181822,226.84687499999998,5821
1825,ITPR2,590.6716853932584,76.39363636363636,366.3528125,5714
1826,REP15,30.330337078651688,19.67818181818182,33.61125,9849
1827,RAI14,440.7756179775281,677.2445454545455,738.5603125,9672
1828,CEP76,118.48157303370787,90.39,77.2259375,1976
1829,TAOK1,440.78325842696626,263.48,261.19437500000004,11904
1830,PRDX5,4930.421573033708,8019.878181818182,11850.81,9150
1831,GMCL1,291.2495505617978,202.17909090909086,286.014375,4553
1832,KCNA5,14.754269662921349,49.641818181818174,48.1771875,5892
1833,PEX16,515.8025842696629,634.5681818181819,674.5903125,8643
1834,HSH2D,80.89011235955056,131.47272727272727,51.6103125,5196
1835,ZIC1,60.66910112359551,3.8636363636363638,2.7915625,13564
1836,PADI4,4.55438202247191,9.365454545454547,4.929375,8331
1837,NOXA1,106.8914606741573,112.67818181818183,189.06187500000001,7879
1838,PPIC,1238.2742696629214,1730.7545454545455,1015.5518750000001,9075
1839,IGSF1,462.9483146067415,17.772727272727273,21.9425,5439
1840,NXF2,0.6113483146067415,0.9945454545454546,1.4534375,8079
1841,SYCE3,35.45876404494382,8.945454545454545,42.9425,11722
1842,ENPP7,0.45573033707865174,0.32,85.87687499999998,3576
1843,ELK1,531.146629213483,468.40000000000003,487.468125,3495
1844,PDGFC,832.5994382022471,372.59636363636366,526.5943750000001,8564
1845,SEPT3,78.31910112359552,14.764545454545454,18.9715625,10870
1846,KIF2C,45.41752808988763,62.540909090909096,27.092500000000005,6032
1847,CTCFL,0.6398876404494382,0.7009090909090908,1.3890625,2663
1848,DGAT2,5065.472808988764,590.570909090909,351.21937499999996,2983
1849,PDZD4,126.62157303370786,246.32636363636365,42.490624999999994,8600
1850,AIF1,1596.7255056179777,1297.391818181818,1330.6615625,468
1851,NRL,33.87921348314606,29.045454545454547,95.1534375,7968
1852,COX7C,16417.971235955054,23607.716363636366,32750.04625,2451
1853,CERS4,1442.8104494382019,848.3081818181818,1189.783125,1989
1854,WNT2,98.96303370786516,32.88727272727272,18.5540625,13342
1855,DNER,49.194943820224715,17.63636363636364,758.4784375,3117
1856,SPHK2,181.55752808988765,206.8418181818182,571.8196875,11382
1857,GID8,1044.4256179775282,1076.058181818182,858.155625,4471
1858,FBXW8,182.19157303370787,120.60363636363637,153.41281249999997,3949
1859,PDIA6,3539.9715730337084,3061.0163636363636,4402.0759375,8571
1860,WDR19,679.9996629213482,309.1490909090909,446.91499999999996,13294
1861,CHRD,231.276404494382,110.10363636363637,186.719375,2068
1862,SYT1,92.7258426966292,78.15727272727271,65.895625,11781
1863,MMP2,9435.030561797752,10082.47,1166.8640625,7093
1864,MC5R,1.7467415730337077,0.39909090909090916,0.22,6809
1865,TNPO2,817.8384269662922,719.3645454545455,671.8090625,12486
1866,WASF2,2081.756741573034,1494.8654545454542,1069.5603125,13278
1867,ARL8A,1126.9162921348313,969.7990909090909,999.0062499999999,849
1868,RC3H1,168.93280898876404,146.06090909090912,101.9625,9793
1869,GREM2,69.511797752809,155.53545454545454,21.6478125,4732
1870,PIN4,517.4422471910112,436.5118181818181,515.62625,8792
1871,ADH4,36.785505617977535,4.623636363636363,18.434687500000003,383
1872,SCN3A,40.54314606741573,7.115454545454546,19.656875,10764
1873,TCF7,504.07561797752805,170.14909090909092,97.086875,12002
1874,UBE2Z,1366.4626966292135,1220.3136363636363,1316.629375,12930
1875,FXR1,2367.5025842696627,1989.8590909090906,1574.810625,4235
1876,SET,5220.14617977528,5291.302727272728,4576.418125,10892
1877,GOSR2,1174.4730337078652,845.5818181818183,1485.2849999999999,4623
1878,KRT35,0.5251685393258426,0.2290909090909091,0.5259375,6227
1879,ZYX,4380.576179775281,7357.470909090908,2166.2856250000004,14009
1880,SGCG,180.38280898876405,71.49909090909091,11.022187500000001,10947
1881,SCN2B,50.71629213483146,10.73,20.84375,10763
1882,DDX5,12262.943595505618,11721.547272727274,7541.9853125,2936
1883,STYX,223.76460674157303,199.1863636363636,131.68031249999999,11671
1884,GPNMB,5467.376516853932,6091.512727272727,2367.08875,4679
1885,HSF5,0.9135955056179775,1.1427272727272726,0.5700000000000001,5194
1886,CD68,2811.0087640449437,2628.3245454545454,1643.9496875,1820
1887,LPIN2,357.15966292134834,243.08727272727273,871.8909375000001,6489
1888,AMER2,0.6673033707865168,0.38090909090909086,1.2084375,570
1889,RGS6,107.7205617977528,23.204545454545453,49.8228125,9938
1890,EFS,779.9041573033708,540.7272727272727,160.9503125,3436
1891,LAMP1,5377.337640449438,4762.084545454545,6299.411875,6282
1892,CHST7,101.91573033707866,73.01545454545453,86.35125,2077
1893,MUC15,369.2720224719101,92.02999999999999,1248.69625,7315
1894,WDR62,16.276629213483144,21.28090909090909,9.620000000000001,13307
1895,AHR,1159.1767415730337,1071.0672727272727,352.861875,463
1896,HSF1,1492.6011235955057,1906.5290909090909,1290.7190624999998,5190
1897,PRDM1,166.35696629213484,254.15363636363634,90.694375,9138
1898,WAC,2023.008651685393,1560.680909090909,1566.5875,13269
1899,DYRK3,301.34955056179774,144.31727272727275,143.12031249999998,3338
1900,DDX54,965.4689887640449,1145.2727272727273,976.120625,2941
1901,MED31,358.30449438202254,329.1790909090909,370.8325,6893
1902,UACA,1318.852808988764,495.47181818181815,1023.5749999999999,12891
1903,EPGN,10.439550561797752,61.541818181818186,6.651562500000001,3600
1904,AP3M1,743.2229213483146,499.97818181818184,527.0059375,701
1905,USF1,944.4283146067417,969.3754545454544,767.49875,13077
1906,CISD2,453.5920224719101,437.3681818181818,773.1559375,2105
1907,NETO2,185.51056179775279,98.7209090909091,127.59718749999999,7668
1908,FLII,4814.768651685394,5316.025454545455,3297.53625,4072
1909,IP6K3,7.202022471910112,33.267272727272726,105.18656250000001,5595
1910,ZBTB6,151.27539325842696,84.59727272727272,103.3415625,13491
1911,CRTC3,579.0785393258427,576.0136363636362,393.92375,2593
