node0,node1
1872,600
1742,600
8118,600
1329,600
600,1734
7941,600
5758,600
4425,600
11584,5837
2788,12618
12618,13150
12618,12488
7691,11384
12615,12488
12614,12488
11859,12488
6654,12488
12488,12617
5641,6362
5729,3689
6362,5692
5642,8296
11471,5692
11584,11318
10965,5729
8881,5642
11584,3689
6362,5420
11584,5987
11584,10447
8551,5640
5987,8296
6362,5640
3631,6362
6362,8551
6363,2587
935,12747
4569,12747
4570,12747
12747,4571
4573,12747
12747,5420
4564,12747
4565,12747
12747,4574
4577,12747
4563,12747
12747,1255
12747,1524
12747,1526
10786,12747
512,4195
4195,3177
12614,1257
1582,10025
12498,12456
12456,12489
1395,12456
12489,12614
12617,12489
12489,12615
12489,9646
4962,12108
4794,7867
11680,7545
7546,11680
6696,4962
11680,4962
3274,3590
11680,2102
4024,11680
7867,11680
6718,7867
7867,6719
7866,6718
6719,7866
10671,2102
2102,4963
7868,5836
7869,6719
6718,7869
11231,7546
6351,7866
7866,7708
7868,11231
11231,7866
7869,11680
8296,511
5729,11584
11089,12118
11584,5019
7866,6717
6717,7867
6717,7869
3948,11088
4024,10018
4076,4077
10987,8253
6234,7037
7036,6234
4726,8296
6235,7037
1624,8297
10987,10983
9852,888
3443,10987
11451,1620
3443,9927
8893,3443
3443,793
3443,5777
