,0,1
1103,3553,3725
1104,3553,3726
1105,3553,3732
1106,3553,3791
1107,3553,3815
1108,3553,3824
1109,3553,3827
1110,3553,3842
1111,3553,3875
1112,3553,3897
1113,3553,3916
1114,3553,3929
1115,3553,3934
1116,3553,3949
1117,3553,3952
1118,3553,3956
1119,3553,3965
1120,3553,3976
1121,3553,3977
1122,3553,4012
1123,3553,4015
1124,3553,4017
1125,3553,4049
1126,3553,4050
1127,3553,4051
1128,3553,4055
1129,3553,4086
1130,3553,4089
1131,3553,4092
1132,3553,4148
1133,3553,4153
1134,3553,4179
1135,3553,4210
1136,3553,4214
1137,3553,4225
1138,3553,4254
1139,3553,4282
1140,3553,4283
1141,3553,4296
1142,3553,4311
1143,3553,4312
1144,3553,4313
1145,3553,4314
1146,3553,4316
1147,3553,4317
1148,3553,4318
1149,3553,4319
1150,3553,4321
1151,3553,4322
1152,3553,4323
1153,3553,4326
1154,3553,4340
1155,3553,4345
1156,3553,4353
1157,3553,4363
1158,3553,4481
1159,3553,4512
1160,3553,4513
1161,3553,4524
1162,3553,4538
1163,3553,4543
1164,3553,4583
1165,3553,4586
1166,3553,4589
1167,3553,4609
1168,3553,4615
1169,3553,4638
1170,3553,4656
1171,3553,4669
1172,3553,4681
1173,3553,4684
1174,3553,4689
1175,3553,4729
1176,3553,4747
1177,3553,4771
1178,3553,4772
1179,3553,4773
1180,3553,4778
1181,3553,4780
1182,3553,4790
1183,3553,4791
1184,3553,4792
1185,3553,4793
1186,3553,4803
1187,3553,4804
1188,3553,4830
1189,3553,4841
1190,3553,4842
